dtidx,id,px
5102,sec_8,1173.27
5103,sec_8,1169.43
5104,sec_8,1178.1
5105,sec_8,1187.44
5106,sec_8,1189.44
5107,sec_8,1182.45
5108,sec_8,1186.44
5109,sec_8,1194.37
5110,sec_8,1196.48
5111,sec_8,1197.3
5112,sec_8,1210.65
5113,sec_8,1211.67
5114,sec_8,1192.13
5115,sec_8,1197.52
5116,sec_8,1207.17
5117,sec_8,1205.94
5118,sec_8,1208.67
5119,sec_8,1217.28
5120,sec_8,1212.05
5121,sec_8,1183.71
5122,sec_8,1191.36
5123,sec_8,1206.78
5124,sec_8,1186.69
5125,sec_8,1202.26
5126,sec_8,1173.6
5127,sec_8,1165.9
5128,sec_8,1128.15
5129,sec_8,1110.88
5130,sec_8,1159.73
5131,sec_8,1155.79
5132,sec_8,1171.67
5133,sec_8,1157.44
5134,sec_8,1135.68
5135,sec_8,1136.94
5136,sec_8,1120.8
5137,sec_8,1115.05
5138,sec_8,1071.59
5139,sec_8,1087.69
5140,sec_8,1073.65
5141,sec_8,1074.03
5142,sec_8,1067.95
5143,sec_8,1103.06
5144,sec_8,1089.41
5145,sec_8,1070.71
5146,sec_8,1098.38
5147,sec_8,1102.83
5148,sec_8,1064.88
5149,sec_8,1050.47
5150,sec_8,1062
5151,sec_8,1055.69
5152,sec_8,1086.84
5153,sec_8,1091.6
5154,sec_8,1089.63
5155,sec_8,1115.23
5156,sec_8,1114.61
5157,sec_8,1116.04
5158,sec_8,1117.51
5159,sec_8,1113.2
5160,sec_8,1095.31
5161,sec_8,1092.04
5162,sec_8,1073.69
5163,sec_8,1076.77
5164,sec_8,1074.57
5165,sec_8,1041.24
5166,sec_8,1030.71
5167,sec_8,1027.37
5168,sec_8,1022.58
5169,sec_8,1028.06
5170,sec_8,1060.27
5171,sec_8,1070.24
5172,sec_8,1077.96
5173,sec_8,1078.75
5174,sec_8,1095.34
5175,sec_8,1095.17
5176,sec_8,1096.48
5177,sec_8,1064.88
5178,sec_8,1071.25
5179,sec_8,1083.48
5180,sec_8,1069.59
5181,sec_8,1093.67
5182,sec_8,1102.66
5183,sec_8,1115.01
5184,sec_8,1113.84
5185,sec_8,1106.13
5186,sec_8,1101.53
5187,sec_8,1101.6
5188,sec_8,1125.86
5189,sec_8,1120.46
5190,sec_8,1127.24
5191,sec_8,1125.82
5192,sec_8,1121.64
5193,sec_8,1127.79
5194,sec_8,1121.06
5195,sec_8,1089.47
5196,sec_8,1083.61
5197,sec_8,1079.25
5198,sec_8,1079.38
5199,sec_8,1092.54
5200,sec_8,1094.16
5201,sec_8,1075.63
5202,sec_8,1071.69
5203,sec_8,1067.36
5204,sec_8,1051.87
5205,sec_8,1055.33
5206,sec_8,1047.22
5207,sec_8,1064.59
5208,sec_8,1048.92
5209,sec_8,1049.33
5210,sec_8,1080.29
5211,sec_8,1090.1
5212,sec_8,1104.51
5213,sec_8,1091.84
5214,sec_8,1098.87
5215,sec_8,1104.18
5216,sec_8,1109.55
5217,sec_8,1121.9
5218,sec_8,1121.1
5219,sec_8,1125.07
5220,sec_8,1124.66
5221,sec_8,1125.59
5222,sec_8,1142.71
5223,sec_8,1139.78
5224,sec_8,1134.28
5225,sec_8,1124.83
5226,sec_8,1148.67
5227,sec_8,1142.16
5228,sec_8,1147.7
5229,sec_8,1144.73
5230,sec_8,1141.2
5231,sec_8,1146.24
5232,sec_8,1137.03
5233,sec_8,1160.75
5234,sec_8,1159.97
5235,sec_8,1158.06
5236,sec_8,1165.15
5237,sec_8,1165.32
5238,sec_8,1169.77
5239,sec_8,1178.1
5240,sec_8,1173.81
5241,sec_8,1176.19
5242,sec_8,1184.71
5243,sec_8,1165.9
5244,sec_8,1178.17
5245,sec_8,1180.27
5246,sec_8,1183.08
5247,sec_8,1185.62
5248,sec_8,1185.64
5249,sec_8,1182.45
5250,sec_8,1183.78
5251,sec_8,1183.26
5252,sec_8,1184.38
5253,sec_8,1193.57
5254,sec_8,1197.96
5255,sec_8,1221.06
5256,sec_8,1225.85
5257,sec_8,1223.25
5258,sec_8,1213.4
5259,sec_8,1218.71
5260,sec_8,1213.54
5261,sec_8,1199.21
5262,sec_8,1197.75
5263,sec_8,1178.34
5264,sec_8,1178.59
5265,sec_8,1196.68
5266,sec_8,1199.73
5267,sec_8,1197.84
5268,sec_8,1180.73
5269,sec_8,1198.35
5270,sec_8,1189.4
5271,sec_8,1187.76
5272,sec_8,1180.55
5273,sec_8,1206.07
5274,sec_8,1221.53
5275,sec_8,1224.71
5276,sec_8,1223.12
5277,sec_8,1223.75
5278,sec_8,1228.28
5279,sec_8,1233
5280,sec_8,1240.4
5281,sec_8,1240.46
5282,sec_8,1241.59
5283,sec_8,1235.23
5284,sec_8,1242.87
5285,sec_8,1243.91
5286,sec_8,1247.08
5287,sec_8,1254.6
5288,sec_8,1258.84
5289,sec_8,1256.77
5290,sec_8,1257.54
5291,sec_8,1258.51
5292,sec_8,1259.78
5293,sec_8,1257.88
5294,sec_8,1257.64
5295,sec_8,1271.87
5296,sec_8,1270.2
5297,sec_8,1276.56
5298,sec_8,1273.85
