DATE,VALUE
1974-05-29,6.4725
1974-05-30,6.4725
1974-05-31,6.4725
1974-06-03,6.4725
1974-06-04,6.4725
1974-06-05,6.4725
1974-06-06,6.4725
1974-06-07,6.5147
1974-06-10,6.5147
1974-06-11,6.5147
1974-06-12,6.5147
1974-06-13,6.5147
1974-06-14,6.4725
1974-06-17,6.4725
1974-06-18,6.4725
1974-06-19,6.4725
1974-06-20,6.4725
1974-06-21,6.4725
1974-06-24,6.4725
1974-06-25,6.4725
1974-06-26,6.4725
1974-06-27,6.4725
1974-06-28,6.4725
1974-07-01,6.4725
1974-07-02,6.4725
1974-07-03,6.4725
1974-07-04,.
1974-07-05,6.4725
1974-07-08,6.4725
1974-07-09,6.4725
1974-07-10,6.4725
1974-07-11,6.4725
1974-07-12,6.4935
1974-07-15,6.4725
1974-07-16,6.4725
1974-07-17,6.4725
1974-07-18,6.4725
1974-07-19,6.4935
1974-07-22,6.4725
1974-07-23,6.4935
1974-07-24,6.4725
1974-07-25,6.4725
1974-07-26,6.4725
1974-07-29,6.4725
1974-07-30,6.4725
1974-07-31,6.4725
1974-08-01,6.4725
1974-08-02,6.4725
1974-08-05,6.4725
1974-08-06,6.4725
1974-08-07,6.4725
1974-08-08,6.4725
1974-08-09,6.4725
1974-08-12,6.4725
1974-08-13,6.4725
1974-08-14,6.4725
1974-08-15,6.4725
1974-08-16,6.5574
1974-08-19,6.5574
1974-08-20,6.5574
1974-08-21,6.5574
1974-08-22,6.5574
1974-08-23,6.5574
1974-08-26,6.5574
1974-08-27,6.4725
1974-08-28,6.5574
1974-08-29,6.5574
1974-08-30,6.6667
1974-09-02,.
1974-09-03,6.6667
1974-09-04,6.7340
1974-09-05,6.7340
1974-09-06,6.7568
1974-09-09,6.7568
1974-09-10,6.7568
1974-09-11,6.7568
1974-09-12,6.7568
1974-09-13,6.7568
1974-09-16,6.7568
1974-09-17,6.7568
1974-09-18,6.7568
1974-09-19,6.7568
1974-09-20,6.7568
1974-09-23,6.7568
1974-09-24,6.7568
1974-09-25,6.7568
1974-09-26,6.7568
1974-09-27,6.7568
1974-09-30,6.7568
1974-10-01,6.7568
1974-10-02,6.7568
1974-10-03,6.7568
1974-10-04,6.7568
1974-10-07,6.7568
1974-10-08,6.7568
1974-10-09,6.7568
1974-10-10,6.7568
1974-10-11,6.6890
1974-10-14,.
1974-10-15,6.6890
1974-10-16,6.6890
1974-10-17,6.6890
1974-10-18,6.7114
1974-10-21,6.7114
1974-10-22,6.7114
1974-10-23,6.7114
1974-10-24,6.7114
1974-10-25,6.6756
1974-10-28,6.6756
1974-10-29,6.6756
1974-10-30,6.6756
1974-10-31,6.6756
1974-11-01,6.6756
1974-11-04,6.6756
1974-11-05,.
1974-11-06,6.6756
1974-11-07,6.6756
1974-11-08,6.6756
1974-11-11,.
1974-11-12,6.6756
1974-11-13,6.6756
1974-11-14,6.6756
1974-11-15,6.6890
1974-11-18,6.6890
1974-11-19,6.6890
1974-11-20,6.6890
1974-11-21,6.6890
1974-11-22,6.7114
1974-11-25,6.7114
1974-11-26,6.7114
1974-11-27,6.7114
1974-11-28,.
1974-11-29,6.7114
1974-12-02,6.7114
1974-12-03,6.7114
1974-12-04,6.7114
1974-12-05,6.7114
1974-12-06,6.7114
1974-12-09,6.7114
1974-12-10,6.7114
1974-12-11,6.7114
1974-12-12,6.7114
1974-12-13,6.7114
1974-12-16,6.7114
1974-12-17,6.7114
1974-12-18,6.7114
1974-12-19,6.7114
1974-12-20,6.7114
